manufacturer,model,tsn,fuel_type,new_registration_per_model,private_owners,owners_under_29_years,owners_over_60_years,female_owners,business_owners,owners_between_29_and_60_years,male_owners,year
AUDI (D),e-tron GT,BZL,E,781,94,1,28,12,687,752,769,2021
AUDI (D),e-tron S,BVM,E,496,71,4,12,11,425,480,485,2021
AUDI (D),e-tron S Sportback,BVN,E,419,82,0,16,9,337,403,410,2021
AUDI (D),e-tron Sportback 50,BSM,E,1268,389,24,77,100,879,1167,1168,2021
AUDI (D),e-tron Sportback 55,BSN,E,1854,254,9,58,45,1600,1787,1809,2021
AUDI (D),e-tron 50,BSK,E,2347,831,53,187,204,1516,2107,2143,2021
AUDI (D),e-tron 55,BSL,E,2269,392,14,97,77,1877,2158,2192,2021
AUDI (D),Audi e-tron,BPG,E,10,4,1,0,0,6,9,10,2021
AUDI (D),Q4 Sportback 35 e-tron,BZS,E,180,65,8,10,22,115,162,158,2021
AUDI (D),Q4 Sportback 40 e-tron,BZT,E,311,81,6,28,32,230,277,279,2021
AUDI (D),Q4 Sportback 50 e-tron,BZU,E,511,96,1,40,31,415,470,480,2021
AUDI (D),Q4 35 e-tron,BZJ,E,805,414,16,81,114,391,708,691,2021
AUDI (D),Q4 40 e-tron,BZK,E,1583,561,20,192,128,1022,1371,1455,2021
AUDI (D),Q4 50 e-tron,BZV,E,831,262,5,95,56,569,731,775,2021
AUDI (D),RS e-tron GT,BZM,E,714,70,4,17,10,644,693,704,2021
BMW,iX xDrive40,DGW,E,875,69,2,22,15,806,851,860,2021
BMW,iX xDrive50,DGV,E,269,16,0,9,2,253,260,267,2021
BMW,iX3,DAQ,E,2977,1081,18,455,232,1896,2504,2745,2021
BMW,"i3s,i3",BSI,E,12157,5691,153,1768,1843,6466,10236,10314,2021
BMW,i4 eDrive40,DGZ,E,95,3,0,1,1,92,94,94,2021
BMW,i4 M50,DHA,E,98,1,0,0,0,97,98,98,2021
BMW,Cooper SE,CYC,E,10128,7188,324,1335,3170,2940,8469,6958,2021
CITROEN (F),"JUMPY, SPACETOURER,JUMPY",BBW,E,415,121,2,26,36,294,387,379,2021
DACIA (RO),SPRING,AFG,E,4045,1802,45,683,753,2243,3317,3292,2021
