manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
AUDI (D),e-tron 55,BSL,2019,E,Baden-Württemberg,1
AUDI (D),Audi e-tron,BPG,2019,E,Baden-Württemberg,426
BMW,"i3,i3s",BSI,2019,E,Baden-Württemberg,1297
BMW,Cooper SE,CYC,2019,E,Baden-Württemberg,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Baden-Württemberg,14
DAIMLER (D),eVito Tourer,IAT,2019,E,Baden-Württemberg,2
DAIMLER (D),eVito Tourer,IAU,2019,E,Baden-Württemberg,12
DAIMLER (D),forfour ed,GON,2019,E,Baden-Württemberg,0
DAIMLER (D),fortwo coupe ed,HHE,2019,E,Baden-Württemberg,4
DAIMLER (D),EQ forfour,HSE,2019,E,Baden-Württemberg,446
DAIMLER (D),EQ fortwo cabrio,HSG,2019,E,Baden-Württemberg,215
DAIMLER (D),EQ fortwo coupe,HSF,2019,E,Baden-Württemberg,701
DAIMLER (D),EQC 400 4MATIC,AKA,2019,E,Baden-Württemberg,14
DAIMLER (D),EQC 400 4MATIC,HXW,2019,E,Baden-Württemberg,83
HYUNDAI MOTOR (ROK),IONIQ,AHL,2019,E,Baden-Württemberg,187
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2019,E,Baden-Württemberg,445
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2019,E,Baden-Württemberg,45
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2019,E,Baden-Württemberg,169
KIA MOTOR (ROK),NIRO,AIB,2019,E,Baden-Württemberg,61
KIA MOTOR (ROK),SOUL,AGJ,2019,E,Baden-Württemberg,4
KIA MOTOR (ROK),SOUL,AIH,2019,E,Baden-Württemberg,187
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,2019,E,Baden-Württemberg,338
NISSAN (CH),NISSAN e-NV200,AIA,2019,E,Baden-Württemberg,41
OPEL,Ampera-e,AGT,2019,E,Baden-Württemberg,20
PEUGEOT (F),iOn,AOG,2019,E,Baden-Württemberg,17
RENAULT (F),ZOE,AZX,2019,E,Baden-Württemberg,744
RENAULT (F),ZOE,BIA,2019,E,Baden-Württemberg,882
RENAULT (F),ZOE,BMT,2019,E,Baden-Württemberg,141
TESLA (USA),Model S,AAK,2019,E,Baden-Württemberg,56
TESLA (USA),Model S,AAL,2019,E,Baden-Württemberg,27
TESLA (USA),Model S,AAT,2019,E,Baden-Württemberg,18
TESLA (USA),Model S,AAV,2019,E,Baden-Württemberg,16
TESLA (USA),Model X,AAO,2019,E,Baden-Württemberg,25
TESLA (USA),Model X,AAP,2019,E,Baden-Württemberg,26
TESLA (USA),Model X,AAU,2019,E,Baden-Württemberg,17
TESLA (USA),Model X,AAW,2019,E,Baden-Württemberg,11
TESLA (USA),Model 3,AAQ,2019,E,Baden-Württemberg,174
