federal_state,battery_electric_vehicle,total_hybrid,hybrid_electric,total,total_fuel_cell_(hydrogen),total_gas,year,other_hybrid,fuel_engine
Baden-Württemberg,71328,121044,57578,367051,59,2179,2022,63466,172441
Bayern,95766,184240,70099,549542,104,2354,2022,114141,267078
Berlin,10479,25230,9344,66204,84,375,2022,15886,30036
Brandenburg,8164,15218,6346,49331,11,436,2022,8872,25502
Bremen,2459,5483,2258,15665,1,87,2022,3225,7635
Hamburg,9149,27583,10976,84411,49,175,2022,16607,47455
Hessen,47846,82537,40283,279749,244,1652,2022,42254,147470
Mecklenburg-Vorpommern,3883,7799,2785,27668,2,476,2022,5014,15508
Niedersachsen,47860,60545,28918,265906,74,1613,2022,31627,155814
Nordrhein-Westfalen,104233,181194,84491,557741,133,4121,2022,96703,268060
Rheinland-Pfalz,23614,33367,15929,107903,12,965,2022,17438,49945
Saarland,5861,11397,4639,31590,5,259,2022,6758,14068
Sachsen,10663,25245,9480,85823,13,833,2022,15765,49069
Sachsen-Anhalt,5560,14112,4569,43914,1,440,2022,9543,23801
Schleswig-Holstein,16966,18608,8716,69991,28,478,2022,9892,33911
Thüringen,6525,13294,5456,47606,15,408,2022,7838,27364
Baden-Württemberg,59165,112243,57362,367282,41,1662,2021,54881,194171
Bayern,66860,162937,62898,531550,65,1789,2021,100039,299899
Berlin,8737,20620,8889,60376,24,265,2021,11731,30730
Brandenburg,6638,14219,5665,50986,7,352,2021,8554,29770
Bremen,1833,5014,2189,15561,1,68,2021,2825,8645
Hamburg,7334,22912,8295,92464,16,156,2021,14617,62046
Hessen,33727,72303,32006,276989,33,1640,2021,40297,169286
Mecklenburg-Vorpommern,3259,7244,2354,29795,7,132,2021,4890,19153
Niedersachsen,40084,55973,27969,269551,38,2060,2021,28004,171396
Nordrhein-Westfalen,76073,171750,74070,541469,135,3473,2021,97680,290038
Rheinland-Pfalz,16895,30840,14148,104156,14,714,2021,16692,55693
Saarland,3713,10567,3516,31205,8,159,2021,7051,16758
Sachsen,9078,23982,8760,86713,18,586,2021,15222,53049
Sachsen-Anhalt,4195,12524,3962,42680,14,326,2021,8562,25621
Schleswig-Holstein,13244,18593,8609,72040,40,360,2021,9984,39803
Thüringen,4966,12516,4583,47804,3,288,2021,7933,30031
Baden-Württemberg,32879,83359,36951,425503,0,1850,2020,46408,307415
Bayern,35806,113118,37970,579065,0,2392,2020,75148,427749
Berlin,4951,14762,5934,65907,0,262,2020,8828,45932
Brandenburg,3392,9813,3277,57923,0,362,2020,6536,44356
Bremen,911,3783,1659,17607,0,76,2020,2124,12837
Hamburg,4138,16093,5332,99707,0,181,2020,10761,79295
Hessen,15496,47641,17736,298552,0,1312,2020,29905,234103
Mecklenburg-Vorpommern,1741,5073,1460,34470,0,161,2020,3613,27495
Niedersachsen,27027,43559,20418,300162,0,1420,2020,23141,228156
Nordrhein-Westfalen,39793,116354,44147,598331,0,3731,2020,72207,438453
Rheinland-Pfalz,8422,20552,8030,114997,0,551,2020,12522,85472
Saarland,1936,6786,1798,35689,0,101,2020,4988,26866
Sachsen,5139,16976,4988,103303,0,482,2020,11988,80706
Sachsen-Anhalt,2211,7762,2259,50622,0,245,2020,5503,40404
Schleswig-Holstein,7537,12800,5318,77725,0,344,2020,7482,57044
Thüringen,2623,8987,2913,56579,0,231,2020,6074,44738
Baden-Württemberg,10223,40063,8140,518851,0,1927,2019,31923,466638
Bayern,14532,59294,11122,732774,0,2570,2019,48172,656378
Berlin,2588,7850,1489,87483,0,442,2019,6361,76603
Brandenburg,889,4061,723,65378,0,458,2019,3338,59970
Bremen,380,1817,339,21091,0,86,2019,1478,18808
Hamburg,1395,10518,1227,139286,0,232,2019,9291,127141
Hessen,4885,21814,4254,388753,0,1379,2019,17560,360675
Mecklenburg-Vorpommern,388,2383,326,39160,0,190,2019,2057,36199
Niedersachsen,6347,14906,3215,373211,0,1709,2019,11691,350249
Nordrhein-Westfalen,12377,45905,9124,720517,0,4098,2019,36781,658137
Rheinland-Pfalz,2489,8577,1631,138871,0,546,2019,6946,127259
Saarland,412,2452,452,41734,0,79,2019,2000,38791
Sachsen,1298,7416,989,122790,0,448,2019,6427,113628
Sachsen-Anhalt,630,3282,407,58224,0,255,2019,2875,54057
Schleswig-Holstein,2081,5320,1222,89897,0,268,2019,4098,82228
Thüringen,2339,3393,583,68039,0,189,2019,2810,62118
Baden-Württemberg,5806,20684,5480,480095,0,1810,2018,15204,451795
Bayern,8337,29698,6946,709478,0,2644,2018,22752,668799
Berlin,1174,4872,995,81084,0,479,2018,3877,74559
Brandenburg,694,2454,513,67777,0,372,2018,1941,64257
Bremen,171,1023,186,20436,0,87,2018,837,19155
Hamburg,1126,4764,879,139237,0,229,2018,3885,133118
Hessen,4741,10872,2645,366173,0,1420,2018,8227,349140
Mecklenburg-Vorpommern,239,1302,227,39451,0,228,2018,1075,37682
Niedersachsen,3031,9879,3406,351474,0,2095,2018,6473,336469
Nordrhein-Westfalen,6013,26664,6228,673898,0,4144,2018,20436,637077
Rheinland-Pfalz,1162,4987,1323,134089,0,547,2018,3664,127393
Saarland,240,1585,307,39573,0,113,2018,1278,37635
Sachsen,1065,4412,643,120597,0,500,2018,3769,114620
Sachsen-Anhalt,367,2007,337,57492,0,240,2018,1670,54878
Schleswig-Holstein,1335,3082,850,87182,0,358,2018,2232,82407
Thüringen,552,1848,397,66913,0,200,2018,1451,64313
Baden-Württemberg,4387,12547,5619,472694,0,902,2017,6928,454858
Bayern,5677,17724,6529,700973,0,1125,2017,11195,676447
Berlin,664,3195,899,83536,0,225,2017,2296,79452
Brandenburg,381,1945,464,67979,0,298,2017,1481,65355
Bremen,86,654,205,22608,0,67,2017,449,21801
Hamburg,608,2152,760,140532,0,189,2017,1392,137583
Hessen,3673,6591,2138,370171,0,707,2017,4453,359200
Mecklenburg-Vorpommern,150,951,204,38758,0,123,2017,747,37534
Niedersachsen,2229,7877,3852,358447,0,1181,2017,4025,347160
Nordrhein-Westfalen,4291,17765,5091,674463,0,2249,2017,12674,650158
Rheinland-Pfalz,765,3285,1041,131505,0,308,2017,2244,127147
Saarland,170,1182,182,37004,0,50,2017,1000,35602
Sachsen,620,3593,779,123984,0,258,2017,2814,119513
Sachsen-Anhalt,212,1612,437,60364,0,145,2017,1175,58395
Schleswig-Holstein,786,2265,737,87881,0,178,2017,1528,84652
Thüringen,330,1286,452,69317,0,117,2017,834,67584
